pos,kp,kd,pos_min,pos_max,safe
0.08,120,1,-0.1745,0.1745,0
0.06,100,1,-0.3491,0.3491,-0.12
-0.42,200,3.2,-1.5708,0.8727,-0.12
0.94,200,4,0.0997,2.618,0.24
-0.52,50,0.5,-0.6981,0.6981,0
-0.06,50,0.5,-0.3665,0.3665,0
-0.08,120,1,-0.1745,0.1745,0
-0.06,100,1,-0.3491,0.3491,0.12
-0.42,200,3.2,-1.5708,0.8727,-0.12
0.94,200,4,0.0997,2.618,0.14
-0.52,50,0.5,-0.6981,0.6981,0
0.06,50,0.5,-0.3665,0.3665,0
0,800,6,-1.0472,1.0472,0
0,100,1,-0.01,0.01,0
